601870006400040029900299  19940670000001150208000029 PR-05006000000576278.34170058.7911026826
601860040600000003700037  19917180000000580678000029 18/91   000000577758.40169476.0611026826
601860041300020000300085  19951080000002060638000029 PR-05016000000577610.99169379.3611026826
601860043600040008700087  19917130000025000638000029 13/91   000000577136.33169555.8411026826
601860043600050002700135  00000000000030000638000029 NN      000000577182.05169452.9111026826
601860043600070008700087  19917130000000910662210029 13/91   000114577145.24169612.0411026826
601860043600070008700087  19917130000007890668000029 13/91   000000577153.52169624.1211026826
601860037200050006000060  00000000000005000668000029 NN      000000577882.19169217.6511026826
601840015000000026700267  00000000000005000638000029 NN      000000576070.30171731.5211026826
601840015000000026700267  00000000000001340638000029 NN      000000576070.30171731.5211026826
601890017300000005600056  00000000000039740498000029 NN      000000573786.22171085.8511026826
601880114500000000100096  19952890000004500558000029 PR-05080000000573546.40169289.9511026826
601880116000000008300134  19981560000002810468000029 PR-05119000000573816.64169160.2811026826
601880116100000000100186  19961640000091210408000029 PR-05056000000573750.03169091.5611026826
601840013200000018400184  00000000000003550638000029 NN      000000575804.95171851.2311026826
601840015400000026800268  00000000000000830638000029 NN      000000576087.55171728.8211026826
601840016000010055200552  19877330000008190638000029 NH33/87 000000576166.05171703.2711026826
601840041700000024600246  00000000000001000528000029 NN      000000575232.36171691.7611026826
601840041900000011600116  00000000000000870562210029 NN      000033575261.67171740.7211026826
601840042600000000700007  19983390000009970698000029 06018000000000575240.96171856.1311026826
601840042700000010000100  19983550000008920208000029 06018000000000575265.24171828.4411026826
601870007800010004100041  19927160000028950708000029 16/92   000000576105.94169836.2011026826
601840045100000012700127  00000000000000150568000029 NN      000000575208.16171821.1011026826
601840045300000003200032  00000000000001000562210029 NN      000049575175.52171807.6711026826
601840045600010032000564  19867340000001440568000029 NH34/86 000000575189.01171788.6511026826
601840045900000001900019  00000000000002990558000029 NN      000000575153.17171762.1611026826
601840046300000000100001  00000000000008530528000029 NN      000000575145.12171739.9111026826
601840046400000000400004  00000000000000770532210029 NN      000021575190.67171721.7811026826
601840046600000000500005  19837010000001210528000029 NH1/83  000000575190.06171689.3711026826
601840050900000002600026  00000000000004030528000029 NN      000000575059.02171614.4211026826
601840054200000046900469  00000000000005000468000029 NN      000000575576.55171554.6011026826
601870011600030023800238  00000000000101000328000029 NN      000000577031.65168822.7011026826
601840046900000002900029  19837150000002460528000029 NH15/83 000000575099.21171637.4411026826
601840047700010003800038  00000000000005000528000029 NN      000000575029.03171666.6211026826
601840051500000028200282  00000000000006920568000029 NN      000000575080.96171567.5711026826
601840051900000002900029  00000000000002000528000029 NN      000000575107.61171631.9111026826
601840062000000019200192  00000000000001930562210029 NN      000728575666.45171398.6311026826
601840062500000062400624  19837260000002620168000029 NH26/83 000000575564.19171177.6511026826
601840063100000062200622  19940470000002860608000029 05001000000000575558.75171136.9511026826
601840052900000014200142  00000000000000580528000029 NN      000000575177.61171649.2611026826
601840013600020074500745  19962210000000900632210029 05067000000668575883.82171841.5811026826
601840065100000026400264  00000000000003440638000029 NN      000000575839.59171139.3411026826
601840065200000026400264  00000000000008520638000029 NN      000000575852.11171143.4011026826
601840057200000007000070  00000000000005000608000029 NN      000000575595.15171524.4911026826
601880104900000000100215  19961640000004950498000029 PR-05057000000572981.78168301.5311026826
601880105300030008200082  00000000000025800498000029 NN      000000572971.10168413.9811026826
601890014400010001100312  19917010000001260512210029 1/91    000096573443.99170892.5211026826
601890015600040026500265  00000000000006350438000029 NN      000000573606.71170841.0311026826
601890016500010005600056  00000000000021400598000029 NN      000000573684.40170788.1511026826
601840020600000005500494  19897130000004620638000029 NH13/89 000000576313.37171283.8011026826
601840065500000007100071  00000000000001270638000029 NN      000000575868.98171106.5911026826
601840065800000042700427  00000000000002860638000029 NN      000000575877.32171083.5711026826
601840065900000042700427  00000000000002200638000029 NN      000000575855.13171068.7911026826
601860052000060002000246  19953420000012280592210029 PR-05025000008577071.18170055.7111026826
601840068000020073100731  19942290000011400468000029 PR-05031000000575653.15170936.1711026826
601840068100040071300713  19937430000004300638000029 43/93   000000575683.72170892.7411026826
601840068200040058300583  19867080000001370752210029 NH8/86  000167575565.98170872.2211026826
601840068200050058400697  19962850000005580758000029 05072000000000575596.68170858.6311026826
601840069400070054500545  19877230000001230712210029 NH23/87 000192575875.03170910.2911026826
601840071100000008600086  00000000000001210632210029 NN      000866575910.18171024.6111026826
601840088700000026000260  00000000000001090632210029 NN      001247576236.91170719.0711026826
601840089100000032400324  00000000000001160638000029 NN      000000576186.61170671.9811026826
601840089300000016200162  00000000000001330638000029 NN      000000576177.21170679.8811026826
601840071400000027300273  19972030000000430638000029 PR-05197000000575924.80171034.3611026826
601840040100000031200312  00000000000003960528000029 NN      000000575539.21171652.8511026826
601840040200000031200312  00000000000002120528000029 NN      000000575499.44171638.7211026826
601840040400000003900039  00000000000002140528000029 NN      000000575454.86171644.0011026826
601840048900000010900109  00000000000000100458000029 NN      000000574873.92171667.8211026826
601840049300000044600446  00000000000002080528000029 NN      000000574928.72171637.8211026826
601840049900020051400514  19887230000001090598000029 NH23/88 000000574998.96171601.9211026826
601840050300000051000510  19887230000001450522210029 NH23/88 000086575001.47171638.5311026826
601840050400000051000510  19887230000006730528000029 NH23/88 000000574981.57171629.3711026826
601840050500020066600666  19887260000001390528000029 NH26/88 000000575013.47171631.7711026826
601840094600020073600736  19943500000000860632210029 PR-05046001084576264.10170484.5711026826
