FID;OB_ID;OB_IME;OB_UIME;OB_DJ;NA_MID;NA_ID;NA_IME;NA_UIME;NA_DJ;D_OD;POVRSINA;Y_C;X_C
0;29;GORNJA RADGONA;Gornja Radgona; ;10092639;2;AŽENSKI VRH;Aženski Vrh; ;1.01.1995;640443,1875;572880;168030
1;29;GORNJA RADGONA;Gornja Radgona; ;10092698;3;ČREŠNJEVCI;Črešnjevci; ;1.01.1995;4792764;576660;168430
2;29;GORNJA RADGONA;Gornja Radgona; ;10092752;6;GORNJA RADGONA;Gornja Radgona; ;1.01.1995;2977245;576310;170620
3;29;GORNJA RADGONA;Gornja Radgona; ;10092779;7;GORNJI IVANJCI;Gornji Ivanjci; ;1.01.1995;2989937;574660;162830
4;29;GORNJA RADGONA;Gornja Radgona; ;10092817;9;HERCEGOVŠČAK;Hercegovščak; ;1.01.1995;1424007;575160;170520
5;29;GORNJA RADGONA;Gornja Radgona; ;10092841;10;IVANJSKI VRH;Ivanjski Vrh; ;1.01.1995;734321,375;574070;161220
6;29;GORNJA RADGONA;Gornja Radgona; ;10092850;11;IVANJŠEVCI OB ŠČAVNICI;Ivanjševci ob Ščavnici; ;1.01.1995;1889935;574440;164370
7;29;GORNJA RADGONA;Gornja Radgona; ;10092868;12;IVANJŠEVSKI VRH;Ivanjševski Vrh; ;1.01.1995;2366310;574070;165150
8;29;GORNJA RADGONA;Gornja Radgona; ;10092973;14;KUNOVA;Kunova; ;1.01.1995;3106465;573090;161720
9;29;GORNJA RADGONA;Gornja Radgona; ;10093007;15;LASTOMERCI;Lastomerci; ;1.01.1995;2282941;573650;166400
10;29;GORNJA RADGONA;Gornja Radgona; ;10093023;17;LOKAVCI;Lokavci; ;1.01.1995;2748898;570920;164720
11;29;GORNJA RADGONA;Gornja Radgona; ;10093031;18;LOMANOŠE;Lomanoše; ;1.01.1995;2593592;572910;170000
12;29;GORNJA RADGONA;Gornja Radgona; ;10093082;21;MELE;Mele; ;1.01.1995;2305725;578583;168778
13;29;GORNJA RADGONA;Gornja Radgona; ;10093147;23;NEGOVA;Negova; ;1.01.1995;4711594;572150;163200
14;29;GORNJA RADGONA;Gornja Radgona; ;10093155;24;NORIČKI VRH;Norički Vrh; ;1.01.1995;536830,375;575560;170220
15;29;GORNJA RADGONA;Gornja Radgona; ;10093171;26;OČESLAVCI;Očeslavci; ;1.01.1995;3122225;576900;162550
16;29;GORNJA RADGONA;Gornja Radgona; ;10093198;27;OREHOVCI;Orehovci; ;1.01.1995;1356337;577060;167240
17;29;GORNJA RADGONA;Gornja Radgona; ;10093201;28;OREHOVSKI VRH;Orehovski Vrh; ;1.01.1995;1772588;576270;167460
18;29;GORNJA RADGONA;Gornja Radgona; ;10093236;30;PLITVIČKI VRH;Plitvički Vrh; ;1.01.1995;1701938;571720;169140
19;29;GORNJA RADGONA;Gornja Radgona; ;10093252;32;PODGRAD;Podgrad; ;1.01.1995;1522287;574620;171270
20;29;GORNJA RADGONA;Gornja Radgona; ;10093287;34;POLICE;Police; ;1.01.1995;3997987;573460;169340
21;29;GORNJA RADGONA;Gornja Radgona; ;10093295;35;PTUJSKA CESTA;Ptujska Cesta; ;1.01.1995;1895176;576360;166270
22;29;GORNJA RADGONA;Gornja Radgona; ;10093333;36;RADVENCI;Radvenci; ;1.01.1995;2745147;572350;165210
23;29;GORNJA RADGONA;Gornja Radgona; ;10093350;37;RODMOŠCI;Rodmošci; ;1.01.1995;1296376;574020;165950
24;29;GORNJA RADGONA;Gornja Radgona; ;10093414;39;SPODNJA ŠČAVNICA;Spodnja Ščavnica; ;1.01.1995;8035250;571990;167700
25;29;GORNJA RADGONA;Gornja Radgona; ;10093449;41;SPODNJI IVANJCI;Spodnji Ivanjci; ;1.01.1995;3162564;575550;161530
26;29;GORNJA RADGONA;Gornja Radgona; ;10093481;42;STAVEŠINCI;Stavešinci; ;1.01.1995;1410712;575340;163070
27;29;GORNJA RADGONA;Gornja Radgona; ;10093490;43;STAVEŠINSKI VRH;Stavešinski Vrh; ;1.01.1995;2035453;575820;164530
28;29;GORNJA RADGONA;Gornja Radgona; ;10093597;47;ZAGAJSKI VRH;Zagajski Vrh; ;1.01.1995;1697874;569660;167020
29;29;GORNJA RADGONA;Gornja Radgona; ;10093619;48;ZBIGOVCI;Zbigovci; ;1.01.1995;2748987;574720;167400
