FID;ENOTA;PT_MID;PT_ID;PT_UIME;POV_KM2;D_OD;DV_OD;STATUS;Y_C;X_C
0;PT;21428329;8341;Adleii;39,4900017;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;528070;37130
1;PT;21428337;5270;Ajdoviina;76,2500000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;415110;83160
2;PT;21428345;6280;Ankaran - Ancarano;13,6000004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;404300;49180
3;PT;21428353;9253;Apaae;53,3699989;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;572970;171630
4;PT;21428361;8253;Artiee;18,1499996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;544760;88720
5;PT;21428370;4275;Begunje na Gorenjskem;31,5400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;438260;135910
6;PT;21428388;1382;Begunje pri Cerknici;58,5099983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;454130;74870
7;PT;21428396;9231;Beltinci;62,3100014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;594810;163186
8;PT;21428400;2234;Benedikt;23,6800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;568918;160631
9;PT;21428418;2345;Bistrica ob Dravi;8,6199999;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;542360;156860
10;PT;21428426;3256;Bistrica ob Sotli;29,8199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;551700;101710
11;PT;21428434;8259;Bizeljsko;32,3800011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;554050;91670
12;PT;21428442;1223;Blagovica;27,7999992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;483450;117280
13;PT;21428469;8283;Blanca;25,6299992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;532610;100530
14;PT;21428477;4260;Bled;38,3699989;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;432200;136460
15;PT;21428485;4273;Blejska Dobrava;7,9800000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;431216;139993
16;PT;21428493;9265;Bodonci;27,4699993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;583750;175740
17;PT;21428507;9222;Bogojina;24,2800007;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;601610;172810
18;PT;21428515;4263;Bohinjska Bela;34,0999985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;429450;133170
19;PT;21428523;4264;Bohinjska Bistrica;139,3200073;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;419630;126100
20;PT;21428531;4265;Bohinjsko jezero;142,6100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;415290;127900
21;PT;21428540;1353;Borovnica;63,1599998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;451050;86170
22;PT;21428558;8294;Bo;41,0400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;521000;99620
