FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C;IDAGLO_KAN;IMEAGLO_KA;IDAGLO_VOD;IMEAGLO_VO
0;HS;19138828;21;E;21E;16276286;10093414;11026826;21429392;10252997;2018-11-29 0:00:00;2018-11-29 0:00:00;V;570983;167892;0; ;0; 
1;HS;19129730;41; ;41;16184829;10092752;11026826;21429392;19129241;2006-10-25 0:00:00;2006-10-25 0:00:00;V;576954;169556;3064;Gornja Radgona;0; 
2;HS;11612261;27; ;27;16276006;10093147;11026826;21432237;10255201;2009-07-15 0:00:00;2009-07-15 0:00:00;V;572141;163072;3168;Negova;3168;Negova
3;HS;11606172;9;B;9B;16275891;10093023;11026826;21432237;10255228;2009-01-13 0:00:00;2009-01-13 0:00:00;V;572305;164324;0; ;0; 
4;HS;19134636;17;A;17A;16276197;10093333;11026826;21432237;10252938;2012-08-06 0:00:00;2012-08-06 0:00:00;V;572042;165426;0; ;0; 
5;HS;19131823;22;A;22A;16276464;10093619;11026826;21429392;10252784;2009-10-13 0:00:00;2009-10-13 0:00:00;V;574917;167844;0; ;0; 
6;HS;19133265;18;A;18A;16184977;10092752;11026826;21429392;10253284;2011-01-31 0:00:00;2011-01-31 0:00:00;V;576262;171201;3064;Gornja Radgona;3064;Črešnjevci
7;HS;11620400;52; ;52;16276146;10093287;11026826;21429392;10253012;2009-03-05 0:00:00;2009-03-05 0:00:00;V;573966;169943;0; ;0; 
8;HS;19131769;25; ;25;16184845;10092752;11026826;21429392;10253098;2009-09-09 0:00:00;2009-09-09 0:00:00;V;576384;169657;3064;Gornja Radgona;3064;Črešnjevci
9;HS;19131742;29; ;29;16276120;10093252;11026826;21429392;10253039;2009-09-02 0:00:00;2009-09-02 0:00:00;V;574276;171010;0; ;0; 
10;HS;11609481;18; ;18;16275956;10093082;11026826;21431745;19129179;2009-07-03 0:00:00;2009-07-03 0:00:00;V;578492;168778;3064;Gornja Radgona;3081;Mele
11;HS;11620191;32; ;32;16276146;10093287;11026826;21429392;10253012;2009-03-05 0:00:00;2009-03-05 0:00:00;V;574444;170153;0; ;0; 
12;HS;19131530;10; ;10;16184829;10092752;11026826;21429392;10253098;2009-06-17 0:00:00;2009-06-17 0:00:00;V;576532;169999;3064;Gornja Radgona;0; 
13;HS;11621830;32;A;32A;16276154;10093295;11026826;21429392;10252792;2009-07-09 0:00:00;2009-07-09 0:00:00;V;576159;165552;0; ;0; 
14;HS;19129551;7;A;7A;16276227;10093350;11026826;21429392;10252920;2006-08-16 0:00:00;2006-08-16 0:00:00;V;574533;166497;0; ;0; 
15;HS;19129748;47;A;47A;16276120;10093252;11026826;21429392;10253039;2006-11-13 0:00:00;2006-11-13 0:00:00;V;573685;171223;0; ;0; 
16;HS;19129870;227;C;227C;16275565;10092698;11026826;21429392;10252822;2007-01-15 0:00:00;2007-01-15 0:00:00;V;575740;169294;0; ;0; 
17;HS;19129489;45; ;45;16184829;10092752;11026826;21429392;19129241;2006-07-07 0:00:00;2006-07-07 0:00:00;V;576889;169528;3064;Gornja Radgona;0; 
18;HS;11596363;42; ;42;16275662;10092817;11026826;21429392;10252725;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573817;170390;0; ;0; 
19;HS;11599168;40; ;40;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574437;165312;0; ;0; 
20;HS;11599176;41;A;41A;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574505;165405;0; ;0; 
21;HS;11599184;41; ;41;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574510;165418;0; ;0; 
22;HS;11599192;42;A;42A;16275735;10092868;11026826;21432237;10252911;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574597;165475;0; ;0; 
23;HS;11598374;14;A;14A;16275719;10092841;11026826;21432237;10255287;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574308;161614;0; ;0; 
24;HS;11598471;22; ;22;16275719;10092841;11026826;21432237;10255287;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573967;161003;0; ;0; 
25;HS;11598528;1;A;1A;16275727;10092850;11026826;21432237;10255198;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573714;165100;0; ;0; 
26;HS;11598609;7; ;7;16275727;10092850;11026826;21432237;10255198;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574136;164539;0; ;3017;Ivanjševci ob Ščavnici
27;HS;11598617;8; ;8;16275727;10092850;11026826;21432237;10255198;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574187;164548;0; ;3017;Ivanjševci ob Ščavnici
28;HS;11598714;17; ;17;16275727;10092850;11026826;21432237;10255198;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574534;164443;0; ;3017;Ivanjševci ob Ščavnici
29;HS;11598811;9; ;9;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574394;164769;0; ;0; 
30;HS;11598951;22; ;22;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574344;165133;0; ;0; 
31;HS;11598986;25;A;25A;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574342;165226;0; ;0; 
32;HS;11599087;32; ;32;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573898;165232;0; ;0; 
33;HS;11599125;35; ;35;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574285;165389;0; ;0; 
