HSMID	ULICA	LABELA	NASLOV	STALNO	ZACASNO	VODA	KAN.	SMETI	GREZNICA	CADIS
19138828	Spodnja Ščavnica	21E	Spodnja Ščavnica 21E	0	0	0	0	0	0	0
19129730	Ljutomerska cesta	41	Ljutomerska cesta 41	0	0	1	0	1	1	1
11612261	Negova	27	Negova 27	2	0	3	1	0	1	1
11606172	Lokavci	9B	Lokavci 9B	5	0	0	0	0	0	0
19134636	Radvenci	17A	Radvenci 17A	4	0	0	0	0	0	0
19131823	Zbigovci	22A	Zbigovci 22A	0	0	0	0	0	0	0
19133265	Vrtna ulica	18A	Vrtna ulica 18A	4	0	1	1	0	0	1
11620400	Police	52	Police 52	1	1	1	0	1	1	1
19131769	Mariborska cesta	25	Mariborska cesta 25	4	0	1	1	0	1	1
19131742	Podgrad	29	Podgrad 29	3	0	1	0	1	1	1
11609481	Mele	18	Mele 18	4	0	1	1	0	1	1
11620191	Police	32	Police 32	0	0	1	0	1	0	1
19131530	Ljutomerska cesta	10	Ljutomerska cesta 10	0	0	0	0	0	0	0
11621830	Ptujska Cesta	32A	Ptujska Cesta 32A	5	0	1	0	1	1	1
19129551	Rodmošci	7A	Rodmošci 7A	0	0	1	0	1	0	1
19129748	Podgrad	47A	Podgrad 47A	0	0	1	1	0	1	1
19129870	Črešnjevci	227C	Črešnjevci 227C	2	0	1	1	0	1	1
19129489	Ljutomerska cesta	45	Ljutomerska cesta 45	0	0	1	1	0	1	1
11596363	Hercegovščak	42	Hercegovščak 42	3	0	0	0	1	1	1
11599168	Ivanjševski Vrh	40	Ivanjševski Vrh 40	3	0	0	0	1	0	1
11599176	Ivanjševski Vrh	41A	Ivanjševski Vrh 41A	5	0	1	0	1	1	1
11599184	Ivanjševski Vrh	41	Ivanjševski Vrh 41	1	0	0	0	0	0	0
11599192	Ivanjševski Vrh	42A	Ivanjševski Vrh 42A	4	0	1	0	1	1	1
11598374	Ivanjski Vrh	14A	Ivanjski Vrh 14A	3	0	0	0	1	1	1
11598471	Ivanjski Vrh	22	Ivanjski Vrh 22	4	0	0	0	1	1	1
11598528	Ivanjševci ob Ščavnici	1A	Ivanjševci ob Ščavnici 1A	3	0	1	0	1	1	1
11598609	Ivanjševci ob Ščavnici	7	Ivanjševci ob Ščavnici 7	1	0	0	0	1	1	1
11598617	Ivanjševci ob Ščavnici	8	Ivanjševci ob Ščavnici 8	7	0	1	0	1	1	1
11598714	Ivanjševci ob Ščavnici	17	Ivanjševci ob Ščavnici 17	3	0	1	0	1	1	1
11598811	Ivanjševski Vrh	9	Ivanjševski Vrh 9	3	0	1	0	1	1	1
11598951	Ivanjševski Vrh	22	Ivanjševski Vrh 22	2	0	1	0	1	1	1
11598986	Ivanjševski Vrh	25A	Ivanjševski Vrh 25A	4	0	1	0	1	1	1
11599087	Ivanjševski Vrh	32	Ivanjševski Vrh 32	4	0	1	0	1	1	1
11599125	Ivanjševski Vrh	35	Ivanjševski Vrh 35	0	0	1	0	0	0	1
11599133	Ivanjševski Vrh	36	Ivanjševski Vrh 36	0	0	1	0	1	0	1
11599249	Ivanjševski Vrh	44A	Ivanjševski Vrh 44A	3	0	1	0	1	1	1
11599281	Ivanjševski Vrh	45A	Ivanjševski Vrh 45A	2	0	0	0	1	1	1
11599389	Ivanjševski Vrh	54	Ivanjševski Vrh 54	2	0	0	0	0	0	0
11599451	Ivanjševski Vrh	60	Ivanjševski Vrh 60	1	0	1	0	0	0	1
11599591	Ivanjševski Vrh	68	Ivanjševski Vrh 68	3	0	1	0	1	1	1
19137031	Prešernova cesta	1Z	Prešernova cesta 1Z	0	0	1	1	0	1	1
19136078	Lastomerci	10C	Lastomerci 10C	4	0	1	0	1	1	1
11587968	Kerenčičeva ulica	4	Kerenčičeva ulica 4	11	0	1	1	0	1	1
11587534	Grajska cesta	18	Grajska cesta 18	0	0	1	1	0	0	1
11587640	Grajska cesta	28	Grajska cesta 28	1	0	1	1	0	1	1
11588395	Lackova ulica	21	Lackova ulica 21	0	0	1	1	0	1	1
11588867	Maistrov trg	7	Maistrov trg 7	7	1	1	1	0	1	1
11588948	Mariborska cesta	12	Mariborska cesta 12	2	0	1	0	0	1	1
11590055	Pokopališka cesta	2	Pokopališka cesta 2	0	0	0	0	0	0	0
11590110	Pokopališka cesta	12	Pokopališka cesta 12	4	0	1	1	0	1	1
11590152	Prešernova cesta	4	Prešernova cesta 4	0	0	1	1	0	0	1
11592686	Mladinska ulica	2	Mladinska ulica 2	0	0	1	1	0	1	1
11592902	Ob progi	6	Ob progi 6	0	1	1	1	0	1	1
11593224	Prežihova ulica	2A	Prežihova ulica 2A	3	0	1	1	0	1	1
11593445	Rozmanova ulica	2	Rozmanova ulica 2	3	0	1	0	0	1	1
11593526	Strma ulica	7	Strma ulica 7	5	0	1	1	0	1	1
11593534	Strma ulica	8	Strma ulica 8	4	0	1	1	0	1	1
11593984	Vodnikova ulica	4	Vodnikova ulica 4	1	0	1	1	0	1	1
11594204	Gornji Ivanjci	12	Gornji Ivanjci 12	3	0	0	0	1	1	1
11594212	Gornji Ivanjci	13	Gornji Ivanjci 13	6	0	0	0	0	0	1
11594301	Gornji Ivanjci	21	Gornji Ivanjci 21	7	0	0	0	1	0	1
11594336	Gornji Ivanjci	24	Gornji Ivanjci 24	0	0	0	0	0	0	0
11634788	Spodnja Ščavnica	7	Spodnja Ščavnica 7	6	0	1	0	1	1	1
11634818	Spodnja Ščavnica	10A	Spodnja Ščavnica 10A	6	0	0	0	0	0	0
11634893	Spodnja Ščavnica	15A	Spodnja Ščavnica 15A	2	0	0	0	0	0	0
11634915	Spodnja Ščavnica	16	Spodnja Ščavnica 16	4	0	1	0	1	0	1
11634974	Spodnja Ščavnica	19B	Spodnja Ščavnica 19B	0	0	1	0	0	1	1
11635016	Spodnja Ščavnica	21A	Spodnja Ščavnica 21A	2	0	3	0	1	1	1
11635059	Spodnja Ščavnica	22	Spodnja Ščavnica 22	4	0	3	0	1	1	1
11635164	Spodnja Ščavnica	33	Spodnja Ščavnica 33	5	0	3	0	0	1	1
11635288	Spodnja Ščavnica	40	Spodnja Ščavnica 40	1	0	3	0	1	1	1
11635300	Spodnja Ščavnica	42A	Spodnja Ščavnica 42A	2	0	3	0	1	1	1
11635377	Spodnja Ščavnica	44B	Spodnja Ščavnica 44B	4	0	0	0	1	1	1
