FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
169;HS;19138828;21;E;21E;16276286;10093414;11026826;21429392;10252997;2018-11-29;2018-11-29;V;570983;167892
1046;HS;19129730;41;;41;16184829;10092752;11026826;21429392;19129241;2006-10-25;2006-10-25;V;576954;169556
1264;HS;11612261;27;;27;16276006;10093147;11026826;21432237;10255201;2009-07-15;2009-07-15;V;572141;163072
6010;HS;11606172;9;B;9B;16275891;10093023;11026826;21432237;10255228;2009-01-13;2009-01-13;V;572305;164324
6143;HS;19134636;17;A;17A;16276197;10093333;11026826;21432237;10252938;2012-08-06;2012-08-06;V;572042;165426
6521;HS;19131823;22;A;22A;16276464;10093619;11026826;21429392;10252784;2009-10-13;2009-10-13;V;574917;167844
6760;HS;19133265;18;A;18A;16184977;10092752;11026826;21429392;10253284;2011-01-31;2011-01-31;V;576262;171201
6969;HS;11620400;52;;52;16276146;10093287;11026826;21429392;10253012;2009-03-05;2009-03-05;V;573966;169943
7244;HS;19131769;25;;25;16184845;10092752;11026826;21429392;10253098;2009-09-09;2009-09-09;V;576384;169657
10964;HS;19131742;29;;29;16276120;10093252;11026826;21429392;10253039;2009-09-02;2009-09-02;V;574276;171010
11349;HS;11609481;18;;18;16275956;10093082;11026826;21431745;19129179;2009-07-03;2009-07-03;V;578492;168778
11437;HS;11620191;32;;32;16276146;10093287;11026826;21429392;10253012;2009-03-05;2009-03-05;V;574444;170153
11910;HS;19131530;10;;10;16184829;10092752;11026826;21429392;10253098;2009-06-17;2009-06-17;V;576532;169999
12713;HS;11621830;32;A;32A;16276154;10093295;11026826;21429392;10252792;2009-07-09;2009-07-09;V;576159;165552
13556;HS;19129551;7;A;7A;16276227;10093350;11026826;21429392;10252920;2006-08-16;2006-08-16;V;574533;166497
13615;HS;19129748;47;A;47A;16276120;10093252;11026826;21429392;10253039;2006-11-13;2006-11-13;V;573685;171223
13867;HS;19129870;227;C;227C;16275565;10092698;11026826;21429392;10252822;2007-01-15;2007-01-15;V;575740;169294
15727;HS;19129489;45;;45;16184829;10092752;11026826;21429392;19129241;2006-07-07;2006-07-07;V;576889;169528
16564;HS;11596363;42;;42;16275662;10092817;11026826;21429392;10252725;2016-06-02;2016-06-02;V;573817;170390
