(0) IME AGLO	(1) ID AGLO	(2) ID VS	(3) % POKRIT.	(4) MM GOSP.	(5) MM INŠT.	(6) MM DEJAV.	(7) MM IND.	(8) PROD. GOSP.	(9) PROD. INŠT.	(10) PROD. DEJAV.	(11) PROD. IND.	(12) KOMENTAR	preb	preb voda	stavb	stavb voda
SPODNJI IVANJCI	3046	1633	92,00	12	1	2	0	3562,87	387,00	477,00	0,00		66	61	17	15
OČESLAVCI	3062	1633	96,00	14	0	0	0	3137,00	0,00	0,00	0,00		59	57	15	14
NEGOVA	3168	1633	0,00	0	0	0	0	0,00	0,00	0,00	0,00	Upravlja MB vodovod	96	0	30	0
IVANJŠEVCI OB ŠČAVNICI	3017	1633	67,00	10	1	0	0	3301,66	5,00	0,00	0,00		62	42	18	11
ČREŠNJEVCI	3064	1633	97,00	633	13	72	1	144506,33	4081,00	15887,31	540,00		3398	3311	783	720
SPODNJA ŠČAVNICA	3309	1633	86,00	17	0	0	0	2450,00	0,00	0,00	0,00		58	50	21	17
MELE	3081	1633	98,00	44	1	1	0	7202,76	6,00	11,00	0,00		130	128	51	46
Črešnjevci1	50122	1633	100,00	23	1	0	0	2861,00	141,00	0,00	0,00		86	86	26	24
Črešnjevci2	50123	1633	83,00	10	0	2	0	1172,00	0,00	694,00	0,00		43	36	15	12
LOMANOŠE	3351	1633	69,00	29	0	0	0	4414,00	0,00	0,00	0,00		133	92	43	29
PODGRAD	3028	1633	83,00	16	0	1	0	1353,00	0,00	184,00	0,00		59	49	22	17
