(1) ID AGLO	(2) ID VS	(3) % POKRIT.	(4) MM GOSP.	(5) MM INŠT.	(6) MM DEJAV.	(7) MM IND.	(8) PROD. GOSP.	(9) PROD. INŠT.	(10) PROD. DEJAV.	(11) PROD. IND.	(12) KOMENTAR
3046	1633	92	12	1	2	0	3563	387	477	0	
3062	1633	96	14	0	0	0	3137	0	0	0	
3168	1633	-99	-99	-99	-99	-99	-99	-99	-99	-99	Upravlja MB vodovod
3017	1633	67	10	1	0	0	3302	5	0	0	
3064	1633	97	633	13	72	1	144506	4081	15887	540	
3309	1633	86	17	0	0	0	2450	0	0	0	
3081	1633	98	44	1	1	0	7203	6	11	0	
50122	1633	100	23	1	0	0	2861	141	0	0	
50123	1633	83	10	0	2	0	1172	0	694	0	
3351	1633	69	29	0	0	0	4414	0	0	0	
3028	1633	83	16	0	1	0	1353	0	184	0	


// brez JPP - industrija
